id;title;year;abstract;primary_code;primary_title;secondary_codes
US-7236831-B2;Methods and apparatus for effectuating a lasting change in a neural-function of a patient ;2000;The present disclosure suggests methods of selecting a stimulation site for stimulating a patient's brain or methods of effectuating a neural-function of a patient associated with an impaired body function. In one exemplary implementation, such a neural function may be effectuated by selecting a stimulation site, positioning at least a first electrode at the stimulation site, and applying an electrical potential to pass a current through the first electrode. If one aspect, this stimulation site may be selected by a) identifying a second body function that is a corollary to the impaired body function, and b) determining a corollary location of the patient's brain that is associated with the second body function and is ipsilateral to the impaired body function.;221;Medical Doctors;['213', '215', '214']
US-6795826-B2;Fuzzy content network management and access ;2000;A system and a method for managing information encapsulates the information as objects. The objects are related by a degree to other objects in a content network. The relationships between the objects may be established and enhanced by various human or automatic means. An attractive user interface facilitates use and management of the network by many users. Access to the content network may be customized for distinct user groups.;251;Software and Applications Developers and Analysts;['252', '133', '351']
US-6941294-B2;Method and apparatus for digital media management, retrieval, and collaboration ;2000;A system stores digital media records, and comprising a vocabulary file of words keyed to the digital media records. A search query is received by computer from a user, the search query including words. The search query is logged by computer, yielding a query log. The query log is processed by computer to identify words in the query log which are not words already included in the vocabulary file and which are not words which are variants of words already included in the vocabulary file. Such words are defined as â€œnot-found words.â€ The not-found words are added to the vocabulary file, and the not-found words are keyed to the digital media records.;251;Software and Applications Developers and Analysts;['252', '351', '133']
US-7176482-B1;DNA-based electronics ;2000;Digital computational circuit comprising a network made of a plurality of identical repetitive DNA-based conductive elements. The DNA-based elements used for the purposes of the invention employ a P-bridge as a tunnel junction for a net charge. The DNA-based element of which the circuit is made may be a DNA SET transistor. The circuit may comprise a DNA resistor built from a plurality of SET transistor elements a series, with a constant over-threshold gate voltage. The circuit may further comprise NOT and NOR gates. The NOT gate can be made of a DNA-based transistor and a resistor, and the resistor can be made by using a DNA SET transistor with a constant over-threshold gate voltage, and by placing a plurality of such DNA SET transistors in series until the resistivity reaches the desired value. The NOR gate, on the other hand, can be built from two NOT elements wherein the output of the first NOT element is connected to the resistor of the second NOT element as it voltage supply.;215;Electrotechnology Engineers;['211', '214', '311']
US-7487106-B2;System and method for managing mobile workers ;2000;A computer implemented system and method for managing mobile workers in an object oriented programming environment is disclosed. A plurality of target objects that correspond to facilities assets to be worked on by a mobile worker are classified within a database of the computer. The attributes of each target object are defined, including a task to be performed on each target object. Mobile workers are scheduled for the tasks to be performed on target objects by running a rule engine to determine the algorithms and heuristics to be used to schedule mobile workers for the tasks to be performed. The scheduled jobs are then output to the mobile workers.;251;Software and Applications Developers and Analysts;['252', '133']
US-8005293-B2;Gradient based training method for a support vector machine ;2000;A training method for a support vector machine, including executing an iterative process on a training set of data to determine parameters defining the machine, the iterative process being executed on the basis of a differentiable form of a primal optimization problem for the parameters, the problem being defined on the basis of the parameters and the data set.;251;Software and Applications Developers and Analysts;['212', '214']
US-7200612-B2;processing data for interpretation ;2000;A system for improving sensor-based decision making provides for the automatic submission of data obtained locally from instrumentation (such as image data) together with the interpretation of that data, which can be the output of some software which has been checked and possibly corrected by a user according to his/her expertise, to a remote database via an internetwork. The submission to the remote database is preferably automatic so that the remote database grows over time. The local site can access the remote database to retrieve information to assist in interpretation of the locally produced data (for example similar images and their corresponding interpretations), or can retrieve updated or improved software or parameters improving the software used for processing the data. The information on the remote database can also be reprocessed by software agents to provide statistical information based on information from a variety of such local sites. The system is particularly useful in improving the interpretation of data which is difficult to interpret such as medical image data (e.g. mammographic or cardiac ultrasound data).;251;Software and Applications Developers and Analysts;['252', '221', '213']
US-6840107-B2;Acoustic microscope ;2000;An acoustic microscope is disclosed having an acoustic lens formed of fused metal and glass. A high speed analogue to digital converter and a pulse generator/receiver are also disclosed. Automated V(z) curve measurement produces quantitative elastic properties of the specimen. (C) and (B) scans are sliced and a simulated three-dimensional image is formed therefrom.;215;Electrotechnology Engineers;['214', '211', '311']
US-6665377-B1;Networked voice-activated dialing and call-completion system ;2000;A networked system of voice-activated dialers is described. When a calling party using a local voice-activated dialer utters a phrase which indicates that information to reach a called party may be available at a remote site, a network connection is established to the remote site, spoken words or phrases are transmitted to the remote site, and the called party information is obtained from the remote site. The called party information is used to provide additional networked services to the calling party such as call-completion, voice messaging, or paging. These additional networked services may use the Public Switched Telephone Network (PSTN) and an existing signaling network such as the Signaling System No. 7 network.;252;Database and Network Professionals;['251', '352']
US-7500143-B2;Systems and methods for managing and analyzing faults in computer networks ;2000;A system (100) for analyzing a fault includes a fault object factory (110) constructed and arranged to receive fault data and create a fault object (112), and a fault diagnosis engine (101) constructed and arranged to perform root cause analysis of the fault object. The system may further include a fault detector (130) constructed and arranged to detect the fault data in a monitored entity, a fault repository (140) constructed and arranged to store and access the fault object;;;
US-6925454-B2;Methodology for creating and maintaining a scheme for categorizing electronic communications ;2000;Supervised learning is used to develop a computer program that can automatically route or respond to electronic communications assuming the existence of an appropriate formal scheme for categorizing incoming electronic communications. A method is described by which such a categorization scheme for electronic communications can be constructed. The method is based on an analysis of factors having an impact on the categorization scheme from both the business domain and the technology domain. The problem solved by this method is a new one that is only now emerging as automated methods of routing communications based on supervised learning are becoming feasible. Among other uses, this method may be practically employed as a disciplined way of carrying out consulting engagements that call for setting up and maintaining categorization schemes for electronic communications.;251;Software and Applications Developers and Analysts;['252', '133', '134']
US-6865926-B2;Method and apparatus for sample analysis ;2000;Methods and systems for analyzing samples, such as gas samples, are described. One method comprises providing a gas sample, increasing pressure applied to the gas sample to compress the sample to a smaller volume and provide a pneumatically focused gas sample, and analyzing the pneumatically focused gas sample using any of a variety of analytical techniques. Also disclosed are systems for gas analysis, including systems for analysis of pneumatically focused, and thereby concentrated, gas samples and for analysis of particulate matter in gas samples. Analytical systems constructed within personal computer cases also are disclosed.;214;Engineering Professionals (excluding Electrotechnology);['211', '311', '314']
US-7742680-B2;Apparatus and method for processing signals ;2000;A tuner1receives a TV-broadcast signal from an antenna6. The TV-broadcast signal is supplied to a demodulator2. The demodulator2demodulates the audio signal and video signal, both contained in the TV-broadcast signal. A CM-detecting section4is provided. In the section4, characteristic patterns are generated at intervals of 15 seconds, 30 seconds and 60 seconds, from the audio and video signals. Then, CM candidates are detected in accordance with the characteristic patterns. Characteristic data representing the characteristics of a CM is extracted from each CM candidate or the audio and video signals preceding and following the CM candidate. The section4detects a CM from the characteristic data thus extracted.;215;Electrotechnology Engineers;['251', '352', '214']
US-7340648-B2;User support ;2000;Online support is given for operation of a device. First, a client system equipped with the device is connected to a user support server that gives online support for operation of the device. Next, the client system transmits device information for which the device model can be specified and use environment information indicative of an operation environment of the device to the user support server system. Finally, using the information transmitted to the user support server system, the device support information for supporting operation of the device that the client system has is generated, and the device support information is transmitted to the client system.;351;Information and Communications Technology Operations and User Support Technicians;['251', '252', '133']
US-6853920-B2;Control for an industrial process using one or more multidimensional variables ;2000;A system for monitoring an industrial process and taking action based on the results of process monitoring. Actions taken may include process control, paging, voicemail, and input for e-enterprise systems. The system includes an input module for receiving a plurality of parameters from a process for manufacture of a substance or object. The system also includes a library module. The library module includes a plurality of computer aided processes. Any one of the computer aided processes is capable of using each of the plurality of parameters to compare at least two of the plurality of parameters against a training set of parameters. The training set of parameters is generally predetermined. The computer aided process is also capable of determining if the at least two of the plurality of parameters are within a predetermined range of the training set of parameters. Additionally, the system includes an output module for outputting a result based upon the training set and the plurality of parameters.;313;Process Control Technicians;['251', '214', '311']
ES-2208212-T3;PROCEDURE AND PROVISION FOR THE RECOGNITION OF AN INDEPENDENT VOICE OF THE ANNOUNCER FOR A TELECOMMUNICATIONS TERMINAL OR DATA TERMINALS. ;2000;Procedure for independent voice recognition of the speaker for a telecommunications terminal or data terminal (MS, T) in a telecommunications network and data network (GSM, TN), respectively, where the terminal receives pronounced words and issues them as written words and / or used internally for control purposes as well as new words can be introduced into the terminal for vocabulary expansion as written words for the purpose of creating a phonetic transcription, where new written words are transmitted by the terminal through a data transmission path (B) of the telecommunications network and the data network, respectively, to a central server (TS), the reproduction of the words in a phonetic transcription being performed on the central server , the phonetic transcription is retransmitted through a data transmission path of the telecommunications network and the network d and data, respectively, towards the terminal and the phonetic transcription is received by it and is memorized therein, characterized in that the reproduction in the phonetic transcription is performed based on an identification of the terminal using one of a plurality of neural networks.;251;Software and Applications Developers and Analysts;['252', '352', '351']
