id,title,year,abstract,primary_code,secondary_codes
US-9961516-B1,System and method for obtaining supplemental information in group communication using artificial intelligence ,2016,"Efficient use of channel bandwidth response, response timing, along with the ability to acquire the most accurate and up to date response are provided for management of virtual assistant search queries within a communication system (100, 200). Improved management is obtained using an artificial intelligence (AI) server (104) controlling response activity to a query communication device (102) by incorporating one or more of: adjusting verbosity of responses (158), redirecting queries from the AI server to alternate resources (412), and/or prioritizing of a response (506) based on wait time.",251,"['252', '133', '351']"
US-10525985-B2,Information output apparatus for saddle-type vehicle ,2016,"An information output apparatus for a straddle vehicle is configured to provide output information to a driver, and includes a receiving unit configured to receive input information input by the driver, a learning unit configured to learn an input tendency that is a tendency of the input information by the driver based on the input information received by the receiving unit, a generating unit configured to generate the output information according to a learned content learned by the learning unit, and an output unit configured to cause a sound device to output the output information generated by the generating unit in a form of a voice in natural language.",251,"['215', '216']"
US-11217239-B2,Computer proxy messaging bot ,2016,"A computer system can conduct corresponding natural language dialogs with multiple computer-readable profiles using a computer proxy messaging bot. For example, a first set of natural language instructions can be received via a computer messaging proxy bot from a first computer-readable profile. The first set of natural language instructions can be analyzed via the proxy bot. Also, first and second natural language dialog scripts can be generated via the proxy bot using results of the analyzing of the first set of natural language instructions, with the second natural language dialog script including natural language data derived from the first set of natural language instructions. The first natural language dialog script can be sent to the first profile via the proxy bot and the second natural language dialog script can be sent to a second computer-readable profile via the proxy bot, both in response to the first set of instructions.",251,"['252', '351']"
US-10820213-B2,Method and apparatus for analyzing communication environment based on property information of an object ,2016,"A communication method and system for converging a 5th-generation (5G) communication system for supporting higher data rates beyond a 4th-generation (4G) system with a technology for Internet of Things (IoT) are provided. The present disclosure may be applied to intelligent services based on the 5G communication technology and the IoT-related technology, such as smart home, smart building, smart city, smart car, connected car, health care, digital education, smart retail, security and safety services. The method for analyzing communication environment in a wireless communication system includes receiving image information of an area, identifying at least one object based on the image information, determining property information of the at least one object, and analyzing communication environment for the area based on the property information. Signal attenuation occurs due to at least one of scattering, diffraction, or absorption of a signal by the at least one object.",215,"['252', '251', '352']"
US-10503988-B2,Method and apparatus for providing goal oriented navigational directions ,2016,"A method or system is able to refine Global Positioning System (â€œGPSâ€) information for guiding a vehicle via extracted metadata using a GPS refinement (â€œGRâ€) model managed by a virtuous cycle containing sensors, machine learning center (â€œMLCâ€), and a cloud based network (â€œCBNâ€). The GR system includes a set of outward facing cameras, a vehicle onboard computer (â€œVOCâ€), and GR model. The outward facing cameras mounted on a vehicle are capable of collecting external images representing a surrounding environment in which the vehicle operates. The VOC is configured to generate a positional vehicle location with respect to the surrounding environment in accordance with the external images and historical stored data obtained from CBN. The GR model is configured to generate a driving guidance based on combined information between the positional vehicle location and GPS data.",251,"['252', '215']"
US-10319574-B2,Categorization data manipulation using a matrix-assisted laser desorption/ionization time-of-flight mass spectrometer ,2016,"Methods, systems, apparatuses, and/or computer programs. Mass spectrometer test data (e.g. a blood sample of a medical patient) may be associated with metadata information. The associated metadata information may be associated with the medical patient. A subset of a sample reference library may be based on the associated metadata information. The sample reference library may include a plurality of sets of mass spectrometer reference data, in accordance with embodiments. Embodiments match the mass spectrometer test data with mass spectrometer reference data of the selected subset of the sample reference library. Embodiments determine characteristic information of a source of the mass spectrometer test data (e.g. the medical patient) based on the known characteristics of the matched mass spectrometer reference data.",213,"['251', '321', '314']"
US-10686672-B2,Method for generating routing control action in software-defined network and related device ,2016,"Embodiments of this application provide a method for generating a routing control action in a software-defined network and a related device, to provide optimum control actions for the SDN. The method includes: obtaining a current network state parameter of the SDN determining a Q function of the SDN based on the current network state parameter of the SDN and a deep neural network model, where the deep neural network model is determined based on a current topology structure of the SDN and determining a routing control action for the SDN based on the Q function and a link state parameter of each link in the SDN. In the technical solution, the deep neural network model is combined with a Q-learning algorithm of reinforcement learning, and optimum control actions can be determined.",252,"['251', '351']"
US-10380741-B2,System and method for a deep learning machine for object detection ,2016,"Apparatuses and methods of manufacturing same, systems, and methods for object detection using a region-based deep learning model are described. In one aspect, a method is provided, in which a region proposal network (RPN) is used to identify regions of interest (RoI) in an image by assigning a confidence levels, the assigned confidence levels of the RoIs are used to boost the background score assigned by the downstream classifier to each RoI, and the background scores are used in a softmax function to calculate the final class probabilities for each object class.",251,"['214', '231']"
US-10628296-B1,Data composite for efficient memory transfer in a behavorial recognition system ,2016,"Techniques are disclosed for dynamic memory allocation in a machine learning anomaly detection system. According to one embodiment of the disclosure, one or more variable-sized chunks of memory is allocated from a device memory for a memory pool. An application allocates at least one of the chunks of memory from the memory pool for processing a plurality of input data streams in real-time. A request to allocate memory from the memory pool for input data is received. Upon determining that one of the chunks is available in the memory pool to store the input data, the chunk is allocated from the memory pool in response to the request.",251,"['252', '351']"
US-10290112-B2,Planar region guided 3D geometry estimation from a single image ,2016,"Techniques for planar region-guided estimates of 3D geometry of objects depicted in a single 2D image. The techniques estimate regions of an image that are part of planar regions (i.e., flat surfaces) and use those planar region estimates to estimate the 3D geometry of the objects in the image. The planar regions and resulting 3D geometry are estimated using only a single 2D image of the objects. Training data from images of other objects is used to train a CNN with a model that is then used to make planar region estimates using a single 2D image. The planar region estimates, in one example, are based on estimates of planarity (surface plane information) and estimates of edges (depth discontinuities and edges between surface planes) that are estimated using models trained using images of other scenes.",251,"['214', '212']"
US-10027472-B2,Non-linear physically unclonable function (PUF) circuit with machine-learning attack resistance ,2016,"Embodiments include apparatuses, methods, and systems for a physically unclonable function (PUF) circuit. The PUF circuit may include an array of PUF cells to generate respective response bits of an authentication code in response to a challenge bit string. The PUF cells may include a pair of cross-coupled inverters, the individual inverters including independently selectable pull-down or pull-up legs. One of the pull-up or pull-down legs of each inverter may be selectively activated based on the challenge bit string. The PUF cells may further include first and second configurable clock delay circuits to pass respective clock signals to pre-charge transistors of the PUF cell. A dark bit masking circuit may generate a soft dark bit mask for the PUF circuit. Other embodiments may be described and claimed.",215,"['214', '251', '311']"
US-9830529-B2,End-to-end saliency mapping via probability distribution prediction ,2016,A method for generating a system for predicting saliency in an image and method of use of the prediction system are described. Attention maps for each of a set of training images are used to train the system. The training includes passing the training images though a neural network and optimizing an objective function over the training set which is based on a distance measure computed between a first probability distribution computed for a saliency map output by the neural network and a second probability distribution computed for the attention map for the respective training image. The trained neural network is suited to generation of saliency maps for new images.,251,"['212', '214']"
US-11023711-B2,All-in-one convolutional neural network for face analysis ,2016,"Various facial recognition systems may benefit from appropriate use of computer systems. For example, certain face analysis systems may benefit from an all-in-one convolutional neural network that has been appropriately configured. A method can include obtaining an image of a face. The method can also include processing the image of the face using a first set of convolutional network layers configured to perform subject-independent tasks. The method can further include subsequently processing the image of the face using a second set of convolutional network layers configured to perform subject-dependent tasks. The second set of convolutional network layers can be integrated with the first set of convolutional network layers to form a single convolutional neural network. The method can additionally include outputting facial image detection results based on the processing and subsequent processing.",251,"['252', '212']"
US-12090323-B2,Implantable living electrodes and methods for use thereof ,2016,"In one aspect, the invention comprises an implantable living electrode comprising a substantially cylindrical extracellular matrix core one or more neurons implanted along or within the substantially cylindrical extracellular matrix core, the one or more neurons including one or more optogenetic or magnetogenetic neurons proximal to a first end of the implantable living electrode.",213,"['214', '314', '321']"
