id,title,year,abstract,primary_code,primary_code_comment,secondary_codes,secondary_codes_comment
US-7236831-B2,Methods and apparatus for effectuating a lasting change in a neural-function of a patient ,2000,"The present disclosure suggests methods of selecting a stimulation site for stimulating a patient's brain or methods of effectuating a neural-function of a patient associated with an impaired body function. In one exemplary implementation, such a neural function may be effectuated by selecting a stimulation site, positioning at least a first electrode at the stimulation site, and applying an electrical potential to pass a current through the first electrode. If one aspect, this stimulation site may be selected by a) identifying a second body function that is a corollary to the impaired body function, and b) determining a corollary location of the patient's brain that is associated with the second body function and is ipsilateral to the impaired body function.",226,"The abstract describes a method for stimulating a patient's brain to effectuate a neural function related to an impaired body function, which falls under health professionals who are not medical doctors, nursing and midwifery professionals, traditional and complementary medicine professionals, paramedical practitioners, or veterinarians.",215,"215 - Electrotechnology Engineers. The method involves positioning an electrode at the stimulation site and applying an electrical potential to pass a current through the electrode, which may require the expertise of electrotechnology engineers."
US-6795826-B2,Fuzzy content network management and access ,2000,A system and a method for managing information encapsulates the information as objects. The objects are related by a degree to other objects in a content network. The relationships between the objects may be established and enhanced by various human or automatic means. An attractive user interface facilitates use and management of the network by many users. Access to the content network may be customized for distinct user groups.,251,"The abstract describes a system and method for managing information, which involves software development and application analysis. The system encapsulates information as objects and relates them in a content network, which is a task typically performed by professionals in this category.",133,"133 - Information and Communications Technology Service managers. The system described in the patent abstract may require management and oversight by ICT service managers, especially in terms of facilitating use and management of the network by many users. This category would be responsible for the implementation and management of the system."
US-6941294-B2,"Method and apparatus for digital media management, retrieval, and collaboration ",2000,"A system stores digital media records, and comprising a vocabulary file of words keyed to the digital media records. A search query is received by computer from a user, the search query including words. The search query is logged by computer, yielding a query log. The query log is processed by computer to identify words in the query log which are not words already included in the vocabulary file and which are not words which are variants of words already included in the vocabulary file. Such words are defined as â€œnot-found words.â€ The not-found words are added to the vocabulary file, and the not-found words are keyed to the digital media records.",251,"The abstract describes a system that processes and stores digital media records, which involves the creation and management of software applications.",252,"252 - Database and Network Professionals. The system described also involves handling a vocabulary file and digital media records, which may require database management skills."
US-7176482-B1,DNA-based electronics ,2000,"Digital computational circuit comprising a network made of a plurality of identical repetitive DNA-based conductive elements. The DNA-based elements used for the purposes of the invention employ a P-bridge as a tunnel junction for a net charge. The DNA-based element of which the circuit is made may be a DNA SET transistor. The circuit may comprise a DNA resistor built from a plurality of SET transistor elements a series, with a constant over-threshold gate voltage. The circuit may further comprise NOT and NOR gates. The NOT gate can be made of a DNA-based transistor and a resistor, and the resistor can be made by using a DNA SET transistor with a constant over-threshold gate voltage, and by placing a plurality of such DNA SET transistors in series until the resistivity reaches the desired value. The NOR gate, on the other hand, can be built from two NOT elements wherein the output of the first NOT element is connected to the resistor of the second NOT element as it voltage supply.",215,"The abstract describes the design and development of a digital computational circuit using DNA-based elements, which falls under the work typically done by electrotechnology engineers.","214, 251","214 - Engineering Professionals (excluding Electrotechnology). This may be relevant as the creation of such circuits may require a broader understanding of engineering principles. Also, 251 - Software and Applications Developers and Analysts, because the development of digital computational circuits might involve software and applications development and analysis."
US-7487106-B2,System and method for managing mobile workers ,2000,"A computer implemented system and method for managing mobile workers in an object oriented programming environment is disclosed. A plurality of target objects that correspond to facilities assets to be worked on by a mobile worker are classified within a database of the computer. The attributes of each target object are defined, including a task to be performed on each target object. Mobile workers are scheduled for the tasks to be performed on target objects by running a rule engine to determine the algorithms and heuristics to be used to schedule mobile workers for the tasks to be performed. The scheduled jobs are then output to the mobile workers.",251,"The abstract describes a computer-implemented system and method for managing mobile workers in an object-oriented programming environment. This work involves defining attributes of target objects, running a rule engine to determine algorithms and heuristics, and scheduling tasks for mobile workers. These tasks are typical of the work done by software and applications developers and analysts.",133,"133 - Information and Communications Technology Service managers. The described system and method also involve managing mobile workers, which could fall under the responsibilities of ICT service managers. They may be involved in overseeing the use of this system and ensuring its effective operation."
US-8005293-B2,Gradient based training method for a support vector machine ,2000,"A training method for a support vector machine, including executing an iterative process on a training set of data to determine parameters defining the machine, the iterative process being executed on the basis of a differentiable form of a primal optimization problem for the parameters, the problem being defined on the basis of the parameters and the data set.",251,"The abstract describes a method for training a support vector machine, which is a type of machine learning algorithm. This task falls under the responsibilities of software developers and analysts who specialize in machine learning and artificial intelligence.",212,"212 - Mathematicians, Actuaries and Statisticians. The process of training a machine learning model involves a lot of mathematical and statistical work, so professionals in this group could also be involved."
US-7200612-B2,processing data for interpretation ,2000,"A system for improving sensor-based decision making provides for the automatic submission of data obtained locally from instrumentation (such as image data) together with the interpretation of that data, which can be the output of some software which has been checked and possibly corrected by a user according to his/her expertise, to a remote database via an internetwork. The submission to the remote database is preferably automatic so that the remote database grows over time. The local site can access the remote database to retrieve information to assist in interpretation of the locally produced data (for example similar images and their corresponding interpretations), or can retrieve updated or improved software or parameters improving the software used for processing the data. The information on the remote database can also be reprocessed by software agents to provide statistical information based on information from a variety of such local sites. The system is particularly useful in improving the interpretation of data which is difficult to interpret such as medical image data (e.g. mammographic or cardiac ultrasound data).",251,"The abstract describes a system that involves the use of software for processing and interpreting data. The system also involves the use of a remote database, which suggests that software developers and analysts would be needed to create, maintain, and improve the system.","252, 213","- 252 - Database and Network Professionals. The system described in the abstract involves the use of a remote database and an internetwork, which suggests that professionals in this category would be involved in the system's operation and maintenance.
    - 213 - Life Science Professionals. The abstract mentions that the system is particularly useful in interpreting medical image data, which suggests that professionals in the life sciences might use the system in their work."
US-6840107-B2,Acoustic microscope ,2000,An acoustic microscope is disclosed having an acoustic lens formed of fused metal and glass. A high speed analogue to digital converter and a pulse generator/receiver are also disclosed. Automated V(z) curve measurement produces quantitative elastic properties of the specimen. (C) and (B) scans are sliced and a simulated three-dimensional image is formed therefrom.,215,"The abstract describes the development and operation of an acoustic microscope, which involves the application of electrical and electronic engineering principles.","214, 211","214 - Engineering Professionals (excluding Electrotechnology). This could be relevant as the creation of an acoustic lens formed of fused metal and glass might require knowledge and skills from other engineering fields. Also, 211 - Physical and Earth Science Professionals might be relevant as the device is used to measure quantitative elastic properties of the specimen, which could involve understanding of physical sciences."
US-6665377-B1,Networked voice-activated dialing and call-completion system ,2000,"A networked system of voice-activated dialers is described. When a calling party using a local voice-activated dialer utters a phrase which indicates that information to reach a called party may be available at a remote site, a network connection is established to the remote site, spoken words or phrases are transmitted to the remote site, and the called party information is obtained from the remote site. The called party information is used to provide additional networked services to the calling party such as call-completion, voice messaging, or paging. These additional networked services may use the Public Switched Telephone Network (PSTN) and an existing signaling network such as the Signaling System No. 7 network.",251,The abstract describes a networked system of voice-activated dialers that requires software and application development and analysis to function and provide services effectively.,252,"252 - Database and Network Professionals. The system described in the abstract involves establishing a network connection and transmitting data, which falls under the responsibilities of database and network professionals."
US-7500143-B2,Systems and methods for managing and analyzing faults in computer networks ,2000,"A system (100) for analyzing a fault includes a fault object factory (110) constructed and arranged to receive fault data and create a fault object (112), and a fault diagnosis engine (101) constructed and arranged to perform root cause analysis of the fault object. The system may further include a fault detector (130) constructed and arranged to detect the fault data in a monitored entity, a fault repository (140) constructed and arranged to store and access the fault object; and a fault handler (150) constructed and arranged to be triggered by the fault diagnosis engine to analyze the fault object.",251,"The abstract describes a system for analyzing and diagnosing faults, which involves the creation and manipulation of software objects. This work is typically done by software developers and analysts, who are responsible for designing, developing, and maintaining software systems.",252,"252 - Database and Network Professionals. The system described in the abstract involves the detection and storage of fault data, which may require the skills and expertise of database and network professionals to manage and maintain."
