id,title,year,abstract,primary_code,primary_title,primary_justification,secondary_codes,secondary_justifications
US-7236831-B2,Methods and apparatus for effectuating a lasting change in a neural-function of a patient ,2000,"The present disclosure suggests methods of selecting a stimulation site for stimulating a patient's brain or methods of effectuating a neural-function of a patient associated with an impaired body function. In one exemplary implementation, such a neural function may be effectuated by selecting a stimulation site, positioning at least a first electrode at the stimulation site, and applying an electrical potential to pass a current through the first electrode. If one aspect, this stimulation site may be selected by a) identifying a second body function that is a corollary to the impaired body function, and b) determining a corollary location of the patient's brain that is associated with the second body function and is ipsilateral to the impaired body function.",221,Medical Doctors,The patent describes a clinical method for selecting and applying brain stimulation to effect neural function in a patient — a diagnostic/therapeutic procedure typically developed and implemented by medical doctors (neurologists/neurosurgeons).,"['213', '215', '214']","{'213': 'Life science professionals (neuroscientists, physiologists) would be involved in identifying corollary functions and mapping brain locations — research focus on biological mechanisms underlying the method.', '215': 'Electrotechnology engineers (biomedical/electrical engineers) are relevant due to electrode placement and application of electrical potentials and device aspects of the invention.', '214': 'Engineering professionals (biomedical/device engineers) may contribute to designing implementation protocols and integrating clinical and engineering aspects of the stimulation method.'}"
US-6795826-B2,Fuzzy content network management and access ,2000,A system and a method for managing information encapsulates the information as objects. The objects are related by a degree to other objects in a content network. The relationships between the objects may be established and enhanced by various human or automatic means. An attractive user interface facilitates use and management of the network by many users. Access to the content network may be customized for distinct user groups.,251,Software and Applications Developers and Analysts,"The patent describes a software system for managing information (objects, relationships, user interface, access customization) which aligns with design and development of applications and software analysis tasks performed by software developers/analysts.","['252', '351']","{'252': 'Database and Network Professionals are relevant because the invention focuses on data modeling, object relationships/content networks and storage/querying aspects handled by database professionals.', '351': 'ICT Operations and User Support Technicians are relevant for the operational, user-access and interface customization aspects and for supporting/maintaining such content management systems.'}"
US-6941294-B2,"Method and apparatus for digital media management, retrieval, and collaboration ",2000,"A system stores digital media records, and comprising a vocabulary file of words keyed to the digital media records. A search query is received by computer from a user, the search query including words. The search query is logged by computer, yielding a query log. The query log is processed by computer to identify words in the query log which are not words already included in the vocabulary file and which are not words which are variants of words already included in the vocabulary file. Such words are defined as â€œnot-found words.â€ The not-found words are added to the vocabulary file, and the not-found words are keyed to the digital media records.",251,Software and Applications Developers and Analysts,"Describes the design/implementation of a software system for search, query logging, vocabulary management and indexing — core software development and application analysis work.","['252', '351']","{'252': 'Involves database/indexing and query-log processing tasks related to storing and retrieving digital media records, relevant to database and network professionals.', '351': 'Operational aspects of maintaining vocabulary files and search services (system administration/operations and user support) could be handled by ICT operations technicians.'}"
US-7176482-B1,DNA-based electronics ,2000,"Digital computational circuit comprising a network made of a plurality of identical repetitive DNA-based conductive elements. The DNA-based elements used for the purposes of the invention employ a P-bridge as a tunnel junction for a net charge. The DNA-based element of which the circuit is made may be a DNA SET transistor. The circuit may comprise a DNA resistor built from a plurality of SET transistor elements a series, with a constant over-threshold gate voltage. The circuit may further comprise NOT and NOR gates. The NOT gate can be made of a DNA-based transistor and a resistor, and the resistor can be made by using a DNA SET transistor with a constant over-threshold gate voltage, and by placing a plurality of such DNA SET transistors in series until the resistivity reaches the desired value. The NOR gate, on the other hand, can be built from two NOT elements wherein the output of the first NOT element is connected to the resistor of the second NOT element as it voltage supply.",215,Electrotechnology Engineers,"The invention concerns design of electronic components and logic gates (transistors, resistors, NOT/NOR gates) — albeit DNA-based — aligning with electrotechnology engineering for electronic circuit and device design.","['213', '211', '311']","{'213': 'Requires life-science and biotechnology expertise for using DNA as conductive elements and for bio-nanotechnology aspects.', '211': 'Involves physical science knowledge (quantum tunnelling, single-electron transistors, nanoscale physics) relevant to physical and earth science professionals.', '311': 'Experimental implementation, fabrication and testing at the bench/technical level would involve physical and engineering science technicians.'}"
US-7487106-B2,System and method for managing mobile workers ,2000,"A computer implemented system and method for managing mobile workers in an object oriented programming environment is disclosed. A plurality of target objects that correspond to facilities assets to be worked on by a mobile worker are classified within a database of the computer. The attributes of each target object are defined, including a task to be performed on each target object. Mobile workers are scheduled for the tasks to be performed on target objects by running a rule engine to determine the algorithms and heuristics to be used to schedule mobile workers for the tasks to be performed. The scheduled jobs are then output to the mobile workers.",251,Software and Applications Developers and Analysts,"The patent describes a computer-implemented application, object-oriented design, scheduling algorithms and a rule engine — core activities of software/application development and analysis.","['252', '133', '351']","{'252': ""The system relies on database classification of target objects and attribute management, overlapping with database and network professionals' responsibilities."", '133': 'Deploying and managing an ICT service for mobile workforce scheduling can fall under ICT service management, especially at the service delivery/operations level.', '351': 'Operation, deployment and user support of the mobile worker application and its outputs involve ICT operations and user support technician tasks.'}"
US-8005293-B2,Gradient based training method for a support vector machine ,2000,"A training method for a support vector machine, including executing an iterative process on a training set of data to determine parameters defining the machine, the iterative process being executed on the basis of a differentiable form of a primal optimization problem for the parameters, the problem being defined on the basis of the parameters and the data set.",251,Software and Applications Developers and Analysts,"The patent describes a machine-learning training method (SVM optimization/algorithmic development), which falls squarely within software/application development and algorithm design tasks.","['212', '231']","{'212': 'The method involves mathematical optimization and statistical learning theory, areas covered by mathematicians, actuaries and statisticians.', '231': 'Such a patent may stem from academic research in computer science; university teachers/researchers often develop novel training algorithms.'}"
US-7200612-B2,processing data for interpretation ,2000,"A system for improving sensor-based decision making provides for the automatic submission of data obtained locally from instrumentation (such as image data) together with the interpretation of that data, which can be the output of some software which has been checked and possibly corrected by a user according to his/her expertise, to a remote database via an internetwork. The submission to the remote database is preferably automatic so that the remote database grows over time. The local site can access the remote database to retrieve information to assist in interpretation of the locally produced data (for example similar images and their corresponding interpretations), or can retrieve updated or improved software or parameters improving the software used for processing the data. The information on the remote database can also be reprocessed by software agents to provide statistical information based on information from a variety of such local sites. The system is particularly useful in improving the interpretation of data which is difficult to interpret such as medical image data (e.g. mammographic or cardiac ultrasound data).",251,Software and Applications Developers and Analysts,"The invention is primarily a software/system for processing sensor and image data, managing distributed data, improving interpretation via algorithms and software updates — core tasks of software and applications developers/analysts.","['252', '212', '221']","{'252': 'Involves design and management of remote databases, networked data submission and retrieval over internetworks — relevant to database and network professionals.', '212': 'Includes reprocessing and statistical analysis of aggregated data by software agents, which relates to statisticians and data analysts.', '221': 'Targeted application is medical image interpretation (e.g. mammography, ultrasound), involving radiologists/medical doctors as key domain experts and users of the system.'}"
US-6840107-B2,Acoustic microscope ,2000,An acoustic microscope is disclosed having an acoustic lens formed of fused metal and glass. A high speed analogue to digital converter and a pulse generator/receiver are also disclosed. Automated V(z) curve measurement produces quantitative elastic properties of the specimen. (C) and (B) scans are sliced and a simulated three-dimensional image is formed therefrom.,211,Physical and Earth Science Professionals,Acoustic microscopy development and quantitative elastic-property measurement are primarily research and instrumentation tasks typical of physicists/materials scientists and applied physical-science professionals.,"['215', '214', '311']","{'215': 'Involves high-speed ADCs, pulse generator/receiver and electronic signal processing consistent with electrotechnology/electronic engineering expertise.', '214': 'Design and fabrication of acoustic lenses and sample-measurement systems overlaps with mechanical/materials engineering skills.', '311': 'Implementation, testing and routine operation of the instrument and automated scanning/measurement would involve physical and engineering science technicians.'}"
US-6665377-B1,Networked voice-activated dialing and call-completion system ,2000,"A networked system of voice-activated dialers is described. When a calling party using a local voice-activated dialer utters a phrase which indicates that information to reach a called party may be available at a remote site, a network connection is established to the remote site, spoken words or phrases are transmitted to the remote site, and the called party information is obtained from the remote site. The called party information is used to provide additional networked services to the calling party such as call-completion, voice messaging, or paging. These additional networked services may use the Public Switched Telephone Network (PSTN) and an existing signaling network such as the Signaling System No. 7 network.",251,Software and Applications Developers and Analysts,"Describes design of a networked voice-activated dialer system and related software services (call-completion, voice messaging, signaling integration), which fits application/system development and analysis.","['252', '352', '133']","{'252': 'Involves networking, remote site connections and integration with signaling networks (SS7/PSTN), aligning with database and network professional tasks.', '352': ""Relates to telecommunications systems and interfaces with PSTN and signaling networks, relevant to telecommunications and broadcasting technicians' domain."", '133': 'Covers management/coordination of ICT services delivery (networked voice services) which may involve ICT service management responsibilities.'}"
US-7500143-B2,Systems and methods for managing and analyzing faults in computer networks ,2000,"A system (100) for analyzing a fault includes a fault object factory (110) constructed and arranged to receive fault data and create a fault object (112), and a fault diagnosis engine (101) constructed and arranged to perform root cause analysis of the fault object. The system may further include a fault detector (130) constructed and arranged to detect the fault data in a monitored entity, a fault repository (140) constructed and arranged to store and access the fault object; and a fault handler (150) constructed and arranged to be triggered by the fault diagnosis engine to analyze the fault object.",251,Software and Applications Developers and Analysts,"Abstract describes software system architecture and components (fault object factory, diagnosis engine, detector, repository) and root-cause analysis algorithms — core tasks of software/application developers and analysts.","['252', '351', '133']","{'252': 'Relevant where fault data storage, repositories and networked detection imply database/network professional involvement in data handling and networked diagnostics.', '351': 'Operational monitoring, detection and user-support aspects of the system align with ICT operations and user support technicians who run and maintain such systems.', '133': 'If considered from an organizational/management perspective, ICT service managers would oversee deployment and delivery of fault-diagnosis services.'}"
