id;title;year;abstract
US-8195586-B2;Data processing apparatus, data processing method, and computer program for setting targets in a range and taking action to attain the target ;2008;"A data processing apparatus includes: predicting means for calculating a prediction value of time series data with respect to input of the time series data using a prediction model for predicting the time series data; determining means for determining a target value of the time series data on the basis of the prediction value of the time series data; error calculating means for calculating an error of the prediction value relative to the target value; and retrieving means for retrieving error reduction data as input of the time series data to the prediction model for reducing the error of the prediction value."
US-8712927-B2;Systems and methods for parameter adaptation ;2008;A method of parameter adaptation is used to modify the parameters of a model to improve model performance. The model separately estimates the contribution of each model parameter to the prediction error. It achieves this by transforming to the time-scale plane the vectors of output sensitivities with respect to model parameters and then identifying the regions within the time-scale plane at which the dynamic effect of individual model parameters is dominant on the output. The method then attributes the prediction error in these regions to the deviation of a single parameter from its true value as the basis of estimating individual parametric errors. The proposed Parameter Signature Isolation Method (PARSIM) then uses these estimates to adapt individual model parameters independently of the others, implementing, in effect, concurrent adaptation of individual parameters by the Newton-Raphson method in the time-scale plane.
US-10007882-B2;System, method and apparatus to determine associations among digital documents ;2008;A search engine for searching based on related scientific or technological concepts, comprises: a learning module for learning about relationships between technical phrases based on their rates of occurrence in related documents, therefrom to form concepts from groupings of related phrases, and a search module for searching for related documents to a query document based on occurrence in said related documents of concepts present in said query document, the learning module carrying out said learning based on a training set of documents and inter-document relations.
US-8261238-B2;Shield for user interface testing ;2008;Real user input targeting an application under test is blocked to prevent interference with a test. A shield window can be placed in front of an application-under-test window to intercept input destined for the application. Users can be notified of interception or a failed attempt to access the application. Furthermore, the shield window can be employed to provide feedback about the test including pointer movement and area focus.
US-8141115-B2;Systems and methods for multiple media coordination ;2008;The claimed subject matter provides systems and/or methods that effectuate multiple media coordination. The system can include devices and components that coordinate in real time the synchronization of multiple media streams to a multiplicity of diverse devices, distribute the multiple media streams to the various diverse devices, and control the distribution of the multiple media streams to the various devices from at least one of the various devices.
US-8954550-B2;Service dependency discovery in enterprise networks ;2008;The claimed subject matter provides systems and/or techniques that identify service dependencies in enterprise networks. The system can include devices that, based on received network data packets, identify packets with common five tuples, aggregate the identified packets to form transactions associated with individual hosts, and determine delay distributions between one or more services solicited from or in response to the individual hosts. Based on the delay distributions, the system differentiates between dependent service pairs and independent service pairs and thereafter assembles and outputs dependency graphs that include dependency relationships between services from the perspective of a client-side and a server-side.
US-8055078-B2;Filter for blocking image-based spam ;2008;A network device and method are directed towards detecting and blocking image spam within a message by employing a weighted min-hash to perform a near duplicate detection (NDD) of determined features within an image as compared to known spam images. The weighting for the min-hash is determined based on employing a machine learning algorithm, such as a perceptron, to identify an importance of each bit in a signature vector of the image. The signature vector is generated by extracting a shape of text in the image using a Discrete Cosine Transform, extracting low-frequency characteristics using a high-pass filter, and then performing various morphological operations to emphasize the shape of the text and reduce noise. Selected feature bits are extracted from the lowest frequency and intensity bits of the resulting signal to generate the signature vector used in the weighted min-hash NDD.
US-8095484-B2;System and method for automatic virtual metrology ;2008;A server, a system and a method for automatic virtual metrology (AVM) are disclosed. The AVM system comprises a model-creation server and a plurality of AVM servers. The model-creation server is used to construct the first set of virtual metrology (VM) models (of a certain equipment type) including a VM conjecture model, a RI (Reliance Index) model, a GSI (Global Similarity Index) model, a DQIx(Process Data Quality Index) model, and a DQIy(Metrology Data Quality Index) model. In the AVM method, the model-creation server also can fan out or port the first set of VM models generated to other AVM servers of the same process apparatus (equipment) type, and each individual fan-out-acceptor's AVM server can perform automatic model refreshing processes so as to gain and maintain its VM models' accuracy.
US-8229595-B2;Method and system for providing autonomous control of a platform ;2008;The present application provides a system for enabling instrument placement from distances on the order of five meters, for example, and increases accuracy of the instrument placement relative to visually-specified targets. The system provides precision control of a mobile base of a rover and onboard manipulators (e.g., robotic arms) relative to a visually-specified target using one or more sets of cameras. The system automatically compensates for wheel slippage and kinematic inaccuracy ensuring accurate placement (on the order of 2 mm, for example) of the instrument relative to the target. The system provides the ability for autonomous instrument placement by controlling both the base of the rover and the onboard manipulator using a single set of cameras. To extend the distance from which the placement can be completed to nearly five meters, target information may be transferred from navigation cameras (used for long-range) to front hazard cameras (used for positioning the manipulator).
US-8190423-B2;Word sense disambiguation using emergent categories ;2008;Disclosed herein is a computer implemented method and system for word sense disambiguation in a natural language sentence. The natural language sentence is parsed for identifying possible parts of speech for each term and identifying possible phrase structures. Terms comprising one or more linguistic roles are identified. The possible sense combinations for the terms with linguistic roles are identified. Emergent categories are applied to identify possible valid senses for each of the terms with identified linguistic roles. Linguistic role pairs are identified from among the terms identified with linguistic roles. The correspondence functions with the correspondence function types matching the identified linguistic role pairs are identified from an emergent categories database. The pair-wise senses for each term are compared with the identified linguistic roles to identify the possible sense combinations. The possible senses are inferred for each term with identified linguistic roles in the natural language sentence and previous sentences.
