row_id,id,title,year,abstract
3501,US-11529283-B2,Apparatus and methods for assisting breathing ,2011,"The present invention provides, among other things, apparatus and methods of use for treating a subject in need of assistance with breathing. In some embodiments the subject suffers from airflow obstruction. In some embodiments, the subject suffers from chronic obstructive pulmonary disease."
3502,US-10896372-B2,Speculative asynchronous sub-population evolutionary computing ,2011,"A tool computes fitness values for a first generation of a first sub-population of a plurality of sub-populations. A population of candidate solutions for an optimization problem was previously divided into the plurality of sub-populations. The population of candidate solutions was created for an iterative computing process in accordance with an evolutionary algorithm to identify a most fit candidate solution for the optimization problem. The tool determines a speculative ranking of the first generation of the first sub-population prior to the fitness values being computed for all candidate solutions in the first generation of the first sub-population. The tool generates a next generation of the first sub-population based, at least in part, on the speculative ranking prior to completion of computation of the fitness values for the first generation of the first sub-population."
3503,US-9569726-B2,"Server computing device for recommending meeting a friend at a service location based on current location, travel direction, and calendar activity ",2011,"A server computing device and related method for providing recommendations to a user computing device are disclosed. In one example, user activity of the user of a user computing device and friend activity of a friend using a friend computing device are received. A request for a recommendation is received from the user device. Based on the user and friend activities, it is estimated that the user and friend will approach an intersecting location within a window of time, and the user and friend are available to meet in that window. A recommendation of a service offered within a distance of the location is sent, with the recommendation displayed on the user computing device."
3504,US-9606822-B2,Lightweight on-demand virtual machines ,2011,"Virtual machines are made lightweight by substituting a library operating system for a full-fledged operating system. Consequently, physical machines can include substantially more virtual machines than otherwise possible. Moreover, a hibernation technique can be employed with respect to lightweight virtual machines to further increase the capacity of physical machines. More specifically, virtual machines can be loaded onto physical machines on-demand and removed from physical machines to make computational resources available as needed. Still further yet, since the virtual machines are lightweight, they can be hibernated and restored at a rate substantially imperceptible to users."
3505,US-10424296-B2,Methods and vehicles for processing voice commands and moderating vehicle response ,2011,"Methods, systems and cloud processing are provided for coordinating and processing user input provided to vehicles during use. One example is a method for processing voice inputs at a vehicle is provided. The method includes determining a profile for a user of the vehicle using electronics of the vehicle. The profile is part of a user account and the vehicle is provided with wireless communication circuitry for accessing a server over a network for exchanging information regarding the vehicle, use of the vehicle and use of the profile. The method includes receiving via a microphone of the vehicle a voice command from the user of the vehicle. The electronics of the vehicle processing the voice command to enable a two-way conversation exchange between the user and the vehicle. The method acts to access, by electronics of the vehicle, data for learned behavior of the user. The learned behavior is associated to the profile for the user. The method processes the voice command to identify a type command. The type of command is one of an instruction to make a change to a setting associated with the vehicle or a request for interfacing with a remote service over the network. The method includes identifying a vehicle response for implementing the type of command identified for the voice command and processing, by the electronics of the vehicle, the vehicle response. The vehicle response is moderated based at least in part on the learned behavior of the user."
3506,US-9965673-B2,Method and apparatus for face detection in a frame sequence using sub-tasks and layers ,2011,"Techniques are disclosed that involve face detection. For instance, face detection tasks may be decomposed into sets of one or more sub-tasks. In turn the sub-tasks of the sets may be allocated across multiple image frames. This allocation may be based on a multiple layer, quad-tree approach. In addition, face tracking tasks may be performed."
3507,US-8631153-B2,"System and method for processing, assigning, and distributing electronic requests ",2011,"A system and method for processing and managing electronic requests may include an input module configured to receive a plurality of electronic requests associated with at least one of a product, service, order, and status. The system may comprise a classification module configured to assign each electronic request to at least one category; a transformation module configured to convert the electronic requests into a format compatible with one or more downstream systems; a distribution module configured to distribute the electronic requests based on routing rules to one or more downstream systems, which responds to the at least one request; a management module configured to manage the electronic requests; or a monitoring module configured to present, via a graphical user interface, information associated with at least one of the electronic requests to a user."
3508,US-9256578-B2,Method and apparatus for measuring and recovering sparse signals ,2011,"The invention provides two kinds of new compressive sensing technologies. In the first technical solution, there is proposed a permutation-based multi-dimensional sensing matrix and an iterative recovery algorithm with maximum likelihood (ML) local detection, which can fully exploit the digital nature of sparse signals. In the second technical solution, there is proposed a sparse measurement matrix which contains a permutation-based multi-dimensional measurement matrix, and an iterative recovery algorithm which fully utilizes the features of measurement symbols to design simple local recovery in each iteration. The second technical solution can achieve the linear decoding complexity and lower bound of sketch length empirically at the same time."
3509,US-9224155-B2,Systems and methods for managing publication of online advertisements ,2011,"Exemplary embodiments provide systems, devices, one or more non-transitory computer-readable media and computer-executable methods for managing publication of online advertising. In exemplary embodiments, computer-based publication techniques may include, but is not limited to, automatically determining whether the content of a particular web page article is suitable or unsuitable for accompaniment with one or more advertisements, automatically determining whether an advertisement is suitable or unsuitable for publication on a web page associated with a web page article, and automatically determining a category that may be used to classify the content of a web page article in order to select one or more categories of advertisements suitable for accompaniment with the web page article."
3510,US-8804541-B2,Method for managing mobile radio resources for package receiving enhancement ,2011,"A method for managing mobile radio resources for package receiving enhancement includes a mobile device that begins monitoring a buffer once the mobile device is in a radio resource control (RRC) connected state. While monitoring, the mobile device checks the state of stacking data packets and the rate at which data packets are being received. An arrival profile for data packets as a function of time is created with this data. A traffic prediction operation is carried out based on the arrival profile. The buffer is checked to determine whether it is empty and whether the predicted traffic is zero. If both conditions are positive, an interrupt signal is sent to a specific point of the RRC state machine requesting that the normal flow be diverted, a disconnection signal from the mobile device is generated, and the mobile device enters an idle mode."
3511,US-11125456-B2,Light communication (LIFI) ,2011,"Systems and methods are disclosed with one or more light emitting diodes (LEDs) with at least one optical transmitter and receiver optically coupled to an optical network over 1 Mbps using at least one LED with a first mode to using broadband optical transmission; and a controller coupled to the LEDs, the controller communicating with the optical network using the optical transmitter and receiver."
3512,US-8983879-B2,Systems and methods for large-scale randomized optimization for problems with decomposable loss functions ,2011,"Systems and methods directed toward processing optimization problems using loss functions, wherein a loss function is decomposed into at least one stratum loss function, a loss is decreased for each stratum loss function to a predefined stratum loss threshold individually using gradient descent, and the overall loss is decreased to a predefined threshold for the loss function by appropriately ordering the processing of the strata and spending appropriate processing time in each stratum. Other embodiments and aspects are also described herein."
3513,US-9110453-B2,Model-free adaptive control of advanced power plants ,2011,"A novel 3-Input-3-Output (3×3) Model-Free Adaptive (MFA) controller with a set of artificial neural networks as part of the controller is introduced. A 3×3 MFA control system using the inventive 3×3 MFA controller is described to control key process variables including Power, Steam Throttle Pressure, and Steam Temperature of boiler-turbine-generator (BTG) units in conventional and advanced power plants. Those advanced power plants may comprise Once-Through Supercritical (OTSC) Boilers, Circulating Fluidized-Bed (CFB) Boilers, and Once-Through Supercritical Circulating Fluidized-Bed (OTSC CFB) Boilers."
3514,US-9154739-B1,Physical training assistant system ,2011,"A computer-implemented method, a system and a computer-readable medium provide useful feedback for a user involved in exercise. A camera is used to track user motion by using image processing techniques to identify key points on a user's body and track their motion. The tracked points are compared to proper form for an exercise, and an embodiment gives feedback based on the relationship between the actual movement of the user and the proper form. Alternatively, silhouette information may be used in a similar manner in another embodiment."
3515,US-9076181-B2,Auction overbidding vigilance tool ,2011,"Vigilance monitoring and a navigation aid are provided to a user in an electronic auction by receiving by a computer a command to watch similar items to a first item in an online or electronic auction; extracting by a computer from the command, from the auction, or from both the command and the auction one or more item descriptive parameters; using by a computer the extracted parameters to query one or more online or electronic sales sources for similar items matching the extracted parameters, the sales sources being electronic sources other than the auction; receiving by a computer at least one price for an available similar item from at least one sales source; and causing prompting by a computer a user of the auction with the similar item price and sales source."
3516,US-9600585-B2,Using reading levels in responding to requests ,2011,"A request can be received and a request reading level representation for the request can be inferred. In response to the request, the request reading level representation can be compared with one or more reading difficulty level representations for one or more response items. Also in response to the request, one or more indications of results of comparing the request reading level representation with one or more reading difficulty level representations for the one or more response items can be returned. The indication(s) may include a ranking of the response items. The ranking can be based at least in part on a request reading level representation for the query and reading difficulty level representations for the response items. The response item(s) may also be returned."
3517,US-9251422-B2,"Methods systems apparatuses circuits and associated computer executable code for video based subject characterization, categorization, identification and/or presence response ",2011,"Disclosed are methods, systems, apparatuses, circuits and associated computer executable code for providing video based subject characterization, categorization, identification and/or presence response. According to some embodiments, there is provided a system including a video acquisition module, a video analytics module to extract subject features and a subject presence response module adapted to generate a response to an identification of a specific subject or group of subjects."
